district,state,year,name,party_name,incumbent,winner
Cuttack,Orissa,1989,BANUDHAR SETHY,BHARATIYA SOCIALIST PARTY,0,0
Dadra & Nagar Haveli,Dadra & Nagar Haveli,1989,PATEL ISHWARBHAI GANDUBHAI,BHARATIYA SOCIALIST PARTY,0,0
Dahod,Gujarat,1996,MAHIDA SHASHIKANT KANJIBHAI,BHARATIYA SOCIALIST PARTY,0,0
Damoh,Madhya Pradesh,1989,DHAN SINGH CHOUDHARY,BHARATIYA SOCIALIST PARTY,0,0
"Darbhanga, Samastipur, and Madhubani",Bihar,1996,VIJAY SHANKAR AZAD TANTI,BHARATIYA SOCIALIST PARTY,0,0
Darjeeling,West Bengal,1989,ARUN PRASAD SARKAR,BHARATIYA SOCIALIST PARTY,0,0
Dausa,Rajasthan,1989,RAM GOPAL JOONWAL,BHARATIYA SOCIALIST PARTY,0,0
Deogarh,Bihar,1998,TEVA CHARAN BUDA,BHARATIYA SOCIALIST PARTY,0,0
Deoria,Uttar Pradesh,1989,RAM NATH SINGH KUSHWAHA,BHARATIYA SOCIALIST PARTY,0,0
Dhanbad,Bihar,1991,SATYENDRA KUMAR AZAD,BHARATIYA SOCIALIST PARTY,0,0
Dharmapuri,Tamil Nadu,1998,MUNIRAJ R.,BHARATIYA SOCIALIST PARTY,0,0
Dhenkanal,Orissa,1991,BANKNIDHI NAIK,BHARATIYA SOCIALIST PARTY,0,0
Dhule,Maharashtra,1999,ADV MORE MADHAV BANDU,BHARATIYA SOCIALIST PARTY,0,0
East Godavari,Andhra Pradesh,1989,SUNDARAIAH,BHARATIYA SOCIALIST PARTY,0,0
East Nimar,Madhya Pradesh,1996,GANSHYAM CHOUDHARI,BHARATIYA SOCIALIST PARTY,0,0
East Singhbhum,Bihar,1996,SIARAM BAITHA,BHARATIYA SOCIALIST PARTY,0,0
Etah,Uttar Pradesh,1989,RADHEY SHYAM,BHARATIYA SOCIALIST PARTY,0,0
Etawah,Uttar Pradesh,1991,KANSHI RAM,BHARATIYA SOCIALIST PARTY,0,1
Faizabad,Uttar Pradesh,1989,RAM BACHAN ALIAS R.K. CHAUDHARI,BHARATIYA SOCIALIST PARTY,0,0
Faridkot,Punjab,1989,BALJIT SINGH,BHARATIYA SOCIALIST PARTY,0,0
Farrukhabad,Uttar Pradesh,1989,RAM SINGH,BHARATIYA SOCIALIST PARTY,0,0
Fatehpur,Uttar Pradesh,1989,HABIB AHMAD,BHARATIYA SOCIALIST PARTY,0,0
Firozabad,Uttar Pradesh,1989,SUKH RAM VARUN,BHARATIYA SOCIALIST PARTY,0,0
Firozpur,Punjab,1989,MOHAN SINGH S/O KAMA SINGH,BHARATIYA SOCIALIST PARTY,0,0
Gandhinagar,Gujarat,1996,BABUBHAI GALUBHAI PATNI,BHARATIYA SOCIALIST PARTY,0,0
Ganganagar,Rajasthan,1991,DHARAM PAL KATARIA,BHARATIYA SOCIALIST PARTY,0,0
"Gaya, Nawada, and Aurangabad",Bihar,1989,DEO RATAN KUMAR,BHARATIYA SOCIALIST PARTY,0,0
Ghaziabad,Uttar Pradesh,1989,SULEMAN,BHARATIYA SOCIALIST PARTY,0,0
Ghazipur,Uttar Pradesh,1989,PREM PRAKASH,BHARATIYA SOCIALIST PARTY,0,0
Giridih,Bihar,1991,DWARIKA PASWAN,BHARATIYA SOCIALIST PARTY,0,0
"Goa, Daman, and Diu",Goa,1989,RAMDAS GAJANAND SATARDEKAR,BHARATIYA SOCIALIST PARTY,0,0
Godda,Bihar,1999,TRIPURARI  MEHTA,BHARATIYA SOCIALIST PARTY,0,0
Gonda,Uttar Pradesh,1989,MAHESH LAL,BHARATIYA SOCIALIST PARTY,0,0
Gorakhpur,Uttar Pradesh,1989,SHAHJAHAN,BHARATIYA SOCIALIST PARTY,0,0
Gulbarga,Karnataka,1998,VITHAL HEROOR,BHARATIYA SOCIALIST PARTY,0,0
Guna,Madhya Pradesh,1989,IQBAL,BHARATIYA SOCIALIST PARTY,0,0
Guntur,Andhra Pradesh,1989,JANAKIRAJU UPPUTHOLLA,BHARATIYA SOCIALIST PARTY,0,0
Gurdaspur,Punjab,1989,DHARAM CHAND,BHARATIYA SOCIALIST PARTY,0,0
Gurgaon and Faridabad,Haryana,1989,SHIV NARIAN,BHARATIYA SOCIALIST PARTY,0,0
Gwalior,Madhya Pradesh,1989,PHOOL SINGH BARAIYA,BHARATIYA SOCIALIST PARTY,0,0
Haora,West Bengal,1989,MANZURUL MANNAN,BHARATIYA SOCIALIST PARTY,0,0
Hardoi,Uttar Pradesh,1991,HEERA LAL,BHARATIYA SOCIALIST PARTY,0,0
Haridwar,Uttaranchal,1989,MAYAWATI,BHARATIYA SOCIALIST PARTY,0,0
Hassan,Karnataka,1998,M.D.GANGAIAH,BHARATIYA SOCIALIST PARTY,0,0
Hathras,Uttar Pradesh,1989,RAMESH CHAND RATAN,BHARATIYA SOCIALIST PARTY,0,0
Hazaribagh,Bihar,1991,SUKHSAGAR MAHTO,BHARATIYA SOCIALIST PARTY,0,0
Hingoli,Maharashtra,1991,BHARAT BHUSHAN MAHIKULAL KURIL,BHARATIYA SOCIALIST PARTY,0,0
Hisar,Haryana,1989,JAGAN NATH,BHARATIYA SOCIALIST PARTY,0,0
Hooghly,West Bengal,1989,JATINDRA NATH BARAL,BHARATIYA SOCIALIST PARTY,0,0
Hoshangabad,Madhya Pradesh,1989,D.R.AMB,BHARATIYA SOCIALIST PARTY,0,0
Hoshiarpur,Punjab,1989,SATNAM SINGH,BHARATIYA SOCIALIST PARTY,0,0
Hyderabad,Andhra Pradesh,1989,V.R.V.SREERAMA RAO,BHARATIYA SOCIALIST PARTY,0,0
Indore,Madhya Pradesh,1989,SURESH YADAV,BHARATIYA SOCIALIST PARTY,0,0
Jabalpur,Madhya Pradesh,1991,DINESH KUMAR,BHARATIYA SOCIALIST PARTY,0,0
Jaipur,Rajasthan,1980,LAXMI CHAND BAJAJ,BHARATIYA SOCIALIST PARTY,0,0
Jajpur,Orissa,1989,JAGAHANDHU DAS,BHARATIYA SOCIALIST PARTY,0,0
Jalandhar,Punjab,1989,DEVIDASS NAHAR,BHARATIYA SOCIALIST PARTY,0,0
Jalaun,Uttar Pradesh,1989,RAM DHIN,BHARATIYA SOCIALIST PARTY,0,0
Jalgaon,Maharashtra,1991,GAVAI RAVINDRA TULSHIRAM,BHARATIYA SOCIALIST PARTY,0,0
Jalna,Maharashtra,1991,RAMCHANDRA KONDIRAM TRIBHUVAN,BHARATIYA SOCIALIST PARTY,0,0
Jalore,Rajasthan,1999,DINESH KUMAR MEGHVANSHI,BHARATIYA SOCIALIST PARTY,0,0
Jalpaiguri,West Bengal,1989,CHITTA RAJAN SARKER,BHARATIYA SOCIALIST PARTY,0,0
Jammu,Jammu & Kashmir,1989,GIRDHARI LAL,BHARATIYA SOCIALIST PARTY,0,0
Jamnagar,Gujarat,1996,SONAGARA RAJESHBHAI BHAGAVANJIBHAI,BHARATIYA SOCIALIST PARTY,0,0
Janjgir-Champa,Chhattisgarh,1989,T.R.KUNTE,BHARATIYA SOCIALIST PARTY,0,0
Jaunpur,Uttar Pradesh,1989,ABHIMANNYU NAGAR,BHARATIYA SOCIALIST PARTY,0,0
Jehanabad,Bihar,1996,SHAMIM SARWAR,BHARATIYA SOCIALIST PARTY,0,0
Jhabua,Madhya Pradesh,1989,BHURALAL PARAGI,BHARATIYA SOCIALIST PARTY,0,0
Jhalawar,Rajasthan,1998,MOHAN LAL,BHARATIYA SOCIALIST PARTY,0,0
Jhansi,Uttar Pradesh,1989,BABU LAL SWARNKAR,BHARATIYA SOCIALIST PARTY,0,0
Jhunjhunu,Rajasthan,1989,RAM PAL,BHARATIYA SOCIALIST PARTY,0,0
Jodhpur,Rajasthan,1989,SURAJ MAL,BHARATIYA SOCIALIST PARTY,0,0
Junagadh,Gujarat,1996,KAKADIYA NAGJIBHAI RAMJIBHAI,BHARATIYA SOCIALIST PARTY,0,0
Jyotiba Phule Nagar,Uttar Pradesh,1989,JALEEL AHMAD,BHARATIYA SOCIALIST PARTY,0,0
Kachchh,Gujarat,1996,GAMIT NATUBHAI NATHUBHAI,BHARATIYA SOCIALIST PARTY,0,0
Kalahandi,Orissa,1991,SURESH CHANDRA NAIK,BHARATIYA SOCIALIST PARTY,0,0
Kandhamal,Orissa,1999,BEDA BYAS SUNA,BHARATIYA SOCIALIST PARTY,0,0
"Kangra, Hamirpur, and Una",Himachal Pradesh,1989,LEKHRAJ,BHARATIYA SOCIALIST PARTY,0,0
Kanker,Chhattisgarh,1989,NATHURAM MALA,BHARATIYA SOCIALIST PARTY,0,0
Kannauj,Uttar Pradesh,1989,ASHOK KUMAR SINGH,BHARATIYA SOCIALIST PARTY,0,0
Kanpur Nagar,Uttar Pradesh,1989,SHARIF,BHARATIYA SOCIALIST PARTY,0,0
Karimnagar,Andhra Pradesh,1989,KORVI VENUGOPAL,BHARATIYA SOCIALIST PARTY,0,0
Karnal,Haryana,1989,MAI LAL,BHARATIYA SOCIALIST PARTY,0,0
Kaushambi,Uttar Pradesh,1989,R. D. SAROJ,BHARATIYA SOCIALIST PARTY,0,0
Kendrapara,Orissa,1998,AKSHAYA  KUMAR MALLIK,BHARATIYA SOCIALIST PARTY,0,0
Khagaria,Bihar,1996,BIJAYENDRA MAHABODHI,BHARATIYA SOCIALIST PARTY,0,0
Khammam,Andhra Pradesh,1991,BAPANNA DORA,BHARATIYA SOCIALIST PARTY,0,0
Kheda,Gujarat,1996,R.K. THAPA,BHARATIYA SOCIALIST PARTY,0,0
Khordha,Orissa,1999,SOUBHAGYA CHANDRA NAIK,BHARATIYA SOCIALIST PARTY,0,0
Kishanganj,Bihar,1996,LAXMI PRASAD SINGH,BHARATIYA SOCIALIST PARTY,0,0
Kolar,Karnataka,1998,N.SHIVANNA,BHARATIYA SOCIALIST PARTY,0,0
Kolhapur,Maharashtra,1998,PROF. PRADNYAVANT GAUTAM,BHARATIYA SOCIALIST PARTY,0,0
Kolkata,West Bengal,1980,SHEW PRASAD GUPTA,BHARATIYA SOCIALIST PARTY,0,0
Kota,Rajasthan,1996,RAM KISHAN VERMA,BHARATIYA SOCIALIST PARTY,0,0
Krishna,Andhra Pradesh,1989,DOKKU RAJUSEKHARAM,BHARATIYA SOCIALIST PARTY,0,0
Kurnool,Andhra Pradesh,1998,R.DAVID,BHARATIYA SOCIALIST PARTY,0,0
Kurukshetra,Haryana,1989,HARBANS SINGH,BHARATIYA SOCIALIST PARTY,0,0
Kushinagar,Uttar Pradesh,1989,KAMALA ALIAS AMLA,BHARATIYA SOCIALIST PARTY,0,0
Lakhimpur Kheri,Uttar Pradesh,1989,MATA DIN,BHARATIYA SOCIALIST PARTY,0,0
Latur,Maharashtra,1991,UTTAMRAO LAXMANRAO,BHARATIYA SOCIALIST PARTY,0,0
Leh,Jammu & Kashmir,1998,MOHAMMED YAQOOB BEIJEL (LADAKHI),BHARATIYA SOCIALIST PARTY,0,0
Lucknow,Uttar Pradesh,1989,JAGMOHAN SINGH VERMA,BHARATIYA SOCIALIST PARTY,0,0
Ludhiana,Punjab,1989,INDERJIT SINGH,BHARATIYA SOCIALIST PARTY,0,0
Madhepura,Bihar,1991,BABULAL MAHTO,BHARATIYA SOCIALIST PARTY,0,0
Maharajganj,Uttar Pradesh,1989,MILIAN,BHARATIYA SOCIALIST PARTY,0,0
Mahasamund,Chhattisgarh,1989,FOOL SINGH,BHARATIYA SOCIALIST PARTY,0,0
Mahbubnagar,Andhra Pradesh,1980,BALAKISTAIAH,BHARATIYA SOCIALIST PARTY,0,0
Mahendragarh,Haryana,1996,RAGHU YADAV,BHARATIYA SOCIALIST PARTY,0,0
Mahesana,Gujarat,1996,RAMESH KUMAR KHANCHAND MAKWANA,BHARATIYA SOCIALIST PARTY,0,0
Mainpuri,Uttar Pradesh,1989,BABA RAM NATH SINGH,BHARATIYA SOCIALIST PARTY,0,0
Maldah,West Bengal,1991,BIRENDRA NATH VISWAS,BHARATIYA SOCIALIST PARTY,0,0
Mandi,Himachal Pradesh,1989,DHARAM SINGH,BHARATIYA SOCIALIST PARTY,0,0
Mandla,Madhya Pradesh,1991,VISHRAM SINGH,BHARATIYA SOCIALIST PARTY,0,0
Mandsaur,Madhya Pradesh,1989,JAGDISH CHANDRA,BHARATIYA SOCIALIST PARTY,0,0
Mandya,Karnataka,1999,N. MAHESH,BHARATIYA SOCIALIST PARTY,0,0
Mathura,Uttar Pradesh,1991,BHAGWAN SINGH,BHARATIYA SOCIALIST PARTY,0,0
Mau,Uttar Pradesh,1989,BISMILLAH,BHARATIYA SOCIALIST PARTY,0,0
Medak,Andhra Pradesh,1991,TALLA RAJAIAH,BHARATIYA SOCIALIST PARTY,0,0
Medinipur,West Bengal,1989,SATISH CHANDRA BISWAS,BHARATIYA SOCIALIST PARTY,0,0
Meerut,Uttar Pradesh,1996,HAZI NOOR ILAHI,BHARATIYA SOCIALIST PARTY,0,0
Mirzapur,Uttar Pradesh,1989,RAM KISHOR,BHARATIYA SOCIALIST PARTY,0,0
Moradabad,Uttar Pradesh,1980,MAHAVIR SINGH,BHARATIYA SOCIALIST PARTY,0,0
Morena,Madhya Pradesh,1989,PRITAM PARSAD CHLUDHARY,BHARATIYA SOCIALIST PARTY,0,0
Mumbai City,Maharashtra,1989,KITABULLAH,BHARATIYA SOCIALIST PARTY,0,0
Mumbai Suburban,Maharashtra,1989,CHANDSINGH PIWAL,BHARATIYA SOCIALIST PARTY,0,0
Munger,Bihar,1991,UMESH KUMAR,BHARATIYA SOCIALIST PARTY,0,0
Murshidabad,West Bengal,1991,JOYDHOR DHIRENDRA,BHARATIYA SOCIALIST PARTY,0,0
Muzaffarnagar,Uttar Pradesh,1989,MOHD. ISLAM,BHARATIYA SOCIALIST PARTY,0,0
"Muzaffarpur, Sitamhari, and Vaishali",Bihar,1991,PRALADH BAITHA,BHARATIYA SOCIALIST PARTY,0,0
Nadia,West Bengal,1989,TUSHAR BISWAS,BHARATIYA SOCIALIST PARTY,0,0
Nagapattinam,Tamil Nadu,1998,"DHAYALAN, A",BHARATIYA SOCIALIST PARTY,0,0
Nagaur,Rajasthan,1989,HAJEE FAQIR MOHD.,BHARATIYA SOCIALIST PARTY,0,0
Nagpur,Maharashtra,1980,ADIWAN RATANSING LALSING,BHARATIYA SOCIALIST PARTY,0,0
Nainital,Uttaranchal,1989,KHUSHI RAM SILPKAR,BHARATIYA SOCIALIST PARTY,0,0
Nalgonda,Andhra Pradesh,1989,KONGARI LAXMINARAYANA,BHARATIYA SOCIALIST PARTY,0,0
Namakkal,Tamil Nadu,1998,SADASIVAM P.,BHARATIYA SOCIALIST PARTY,0,0
Nanded,Maharashtra,1991,GOVINDRAO BARHALIKAR,BHARATIYA SOCIALIST PARTY,0,0
Nashik,Maharashtra,1989,SAU KAMBLE LEELA GOPICHAND,BHARATIYA SOCIALIST PARTY,0,0
Nellore,Andhra Pradesh,1989,PEDDABBI DONTI,BHARATIYA SOCIALIST PARTY,0,0
New Delhi,Delhi,1980,G.R. VIDYARTHI,BHARATIYA SOCIALIST PARTY,0,0
Nizamabad,Andhra Pradesh,1989,BOJJA TARAKAM,BHARATIYA SOCIALIST PARTY,0,0
Osmanabad,Maharashtra,1989,GAIKWAD JAIPRAKASH GANGARAM,BHARATIYA SOCIALIST PARTY,0,0
Palamu,Bihar,1991,BHUNESHWAR RAM,BHARATIYA SOCIALIST PARTY,0,0
Pali,Rajasthan,1996,POKARLAL PARIHAR,BHARATIYA SOCIALIST PARTY,0,0
Panchmahal,Gujarat,1996,CHAUDHARY DHARMISTHABEN NARESHBHAI,BHARATIYA SOCIALIST PARTY,0,0
Parbhani,Maharashtra,1989,AHIRE SURESH GOVINDRAO,BHARATIYA SOCIALIST PARTY,0,0
Parganas,West Bengal,1989,SABITA NASKAR,BHARATIYA SOCIALIST PARTY,0,0
Patiala,Punjab,1989,HARDAIL SINGH,BHARATIYA SOCIALIST PARTY,0,0
Patna and Nalanda,Bihar,1991,USHA PRASAD (W),BHARATIYA SOCIALIST PARTY,0,0
Pilibhit,Uttar Pradesh,1991,HAFIZ AHMAD,BHARATIYA SOCIALIST PARTY,0,0
Pondicherry,Pondicherry,1996,S.K.C. GUEDJENDIRANE,BHARATIYA SOCIALIST PARTY,0,0
Porbandar,Gujarat,1996,SHEKH KHURSHID IKABAL,BHARATIYA SOCIALIST PARTY,0,0
Prakasam,Andhra Pradesh,1998,REGALAGADDA SANJEEVAIAH YADAV,BHARATIYA SOCIALIST PARTY,0,0
Pratapgarh,Uttar Pradesh,1989,VIRENDER KUMAR,BHARATIYA SOCIALIST PARTY,0,0
Pune,Maharashtra,1980,JADHAV MAGAN NIVRUTI,BHARATIYA SOCIALIST PARTY,0,0
Puri,Orissa,1991,NARAYAN KANDI,BHARATIYA SOCIALIST PARTY,0,0
Purnia and Katihar,Bihar,1991,BIDESHI RABIDAS,BHARATIYA SOCIALIST PARTY,0,0
Raebareli,Uttar Pradesh,1989,SUDARSHAN RAM,BHARATIYA SOCIALIST PARTY,0,0
Raigad,Maharashtra,1989,RAMTEKE ANANDRAO URKUDAJI,BHARATIYA SOCIALIST PARTY,0,0
Raigarh,Chhattisgarh,1989,DAU RAM,BHARATIYA SOCIALIST PARTY,0,0
Rajgarh,Madhya Pradesh,1989,UMAR KHAN,BHARATIYA SOCIALIST PARTY,0,0
Rajkot,Gujarat,1999,PARMAR VIJAYBHAI SOMABHAI,BHARATIYA SOCIALIST PARTY,0,0
Rajnandgaon,Chhattisgarh,1989,KHUSH RAM JANCHOL,BHARATIYA SOCIALIST PARTY,0,0
Rampur,Uttar Pradesh,1989,SUBHAN HAJI,BHARATIYA SOCIALIST PARTY,0,0
Ranchi,Bihar,1991,HARI DAS VERMA,BHARATIYA SOCIALIST PARTY,0,0
Ratnagiri,Maharashtra,1989,KAMBALE LAXMAN SANTU,BHARATIYA SOCIALIST PARTY,0,0
Rewa,Madhya Pradesh,1989,KUNTI KURRE,BHARATIYA SOCIALIST PARTY,0,0
Rohtak,Haryana,1989,ZILE SINGH,BHARATIYA SOCIALIST PARTY,0,0
Rupnagar,Punjab,1989,JASPAL SINGH,BHARATIYA SOCIALIST PARTY,0,0
Sabarkantha,Gujarat,1996,VANKAR CHIMANBHAI KESHABHAI,BHARATIYA SOCIALIST PARTY,0,0
Sagar,Madhya Pradesh,1989,SHYAM LAL,BHARATIYA SOCIALIST PARTY,0,0
Saharanpur,Uttar Pradesh,1989,MUKHTAR AHMAD,BHARATIYA SOCIALIST PARTY,0,0
Salem,Tamil Nadu,1998,PADMANABHAN A.G.,BHARATIYA SOCIALIST PARTY,0,0
Sambalpur,Orissa,1991,BIDYADHAR NAIK,BHARATIYA SOCIALIST PARTY,0,0
Sangrur,Punjab,1989,ATMA SINGH,BHARATIYA SOCIALIST PARTY,0,0
Sant Kabir Nagar,Uttar Pradesh,1989,MASUD AHMAD,BHARATIYA SOCIALIST PARTY,0,0
Saran,Bihar,1989,OM PRAKASH SHARMA,BHARATIYA SOCIALIST PARTY,0,0
"Saran, Siwan, and Gopalganj",Bihar,1989,AIZAZUL  HAQUE,BHARATIYA SOCIALIST PARTY,0,0
Satara,Maharashtra,1989,KAKADE BALAVANT WAMAN,BHARATIYA SOCIALIST PARTY,0,0
Satna,Madhya Pradesh,1989,SHYAM SUNDER,BHARATIYA SOCIALIST PARTY,0,0
Sawai Madhopur,Rajasthan,1989,NAHAR SINGH,BHARATIYA SOCIALIST PARTY,0,0
Sehore and Bhopal,Madhya Pradesh,1989,A.RAUF KHAN,BHARATIYA SOCIALIST PARTY,0,0
Seoni,Madhya Pradesh,1989,SHRISHYAM DHURVA,BHARATIYA SOCIALIST PARTY,0,0
Shahdol,Madhya Pradesh,1989,DHAN SINGH,BHARATIYA SOCIALIST PARTY,0,0
Shahjahanpur,Uttar Pradesh,1989,RAM LAL VERMA,BHARATIYA SOCIALIST PARTY,0,0
Shajapur,Madhya Pradesh,1989,CHATUR SINGH,BHARATIYA SOCIALIST PARTY,0,0
Sheohar,Bihar,1991,RAMESHWAR THAKUR,BHARATIYA SOCIALIST PARTY,0,0
Shimla,Himachal Pradesh,1989,JASWANT RAI,BHARATIYA SOCIALIST PARTY,0,0
Siddharthnagar,Uttar Pradesh,1989,ATIKURHAMAN KHAN,BHARATIYA SOCIALIST PARTY,0,0
Sidhi,Madhya Pradesh,1989,LAKSHAMAN SINGH,BHARATIYA SOCIALIST PARTY,0,0
Sikar,Rajasthan,1996,HARI RAM,BHARATIYA SOCIALIST PARTY,0,0
Singhbhum,Bihar,1999,ANTU SUNDI,BHARATIYA SOCIALIST PARTY,0,0
Sirsa,Haryana,1989,SURJAN RAM,BHARATIYA SOCIALIST PARTY,0,0
Sitamarhi,Bihar,1996,KAILASH BAITHA,BHARATIYA SOCIALIST PARTY,0,0
Sitapur,Uttar Pradesh,1989,SAIYAD NASEER AHMAD,BHARATIYA SOCIALIST PARTY,0,0
Solapur,Maharashtra,1991,SHIKHARE ABHIMANYU BALU,BHARATIYA SOCIALIST PARTY,0,0
Sonbhadhra,Uttar Pradesh,1989,GULAB CHANDRA AMBED,BHARATIYA SOCIALIST PARTY,0,0
Sonipat,Haryana,1989,YOGESH KUMAR,BHARATIYA SOCIALIST PARTY,0,0
Srinagar,Jammu & Kashmir,1998,GHULAM MOHI-UD-DIN AKHOON,BHARATIYA SOCIALIST PARTY,0,0
Sultanpur,Uttar Pradesh,1989,RAM SHABAD,BHARATIYA SOCIALIST PARTY,0,0
Surat and Valsad,Gujarat,1989,GARASIA AMBUBHAI LAXAMANBHAI,BHARATIYA SOCIALIST PARTY,0,0
Surguja,Chhattisgarh,1999,DHANSINGH DHURVE ( NAN BABA),BHARATIYA SOCIALIST PARTY,0,0
Tehri Garhwal,Uttaranchal,1989,RAMI DEVI,BHARATIYA SOCIALIST PARTY,0,0
Thane,Maharashtra,1989,L. D. BANDE,BHARATIYA SOCIALIST PARTY,0,0
Thoothukudi,Tamil Nadu,1998,"CHANDRASEKARAN,KALANTHI,P",BHARATIYA SOCIALIST PARTY,0,0
Tonk,Rajasthan,1989,RAM NATH,BHARATIYA SOCIALIST PARTY,0,0
Tumkur,Karnataka,1999,V.NAGARAJU,BHARATIYA SOCIALIST PARTY,0,0
Udaipur,Rajasthan,1998,TEJ SINGH SARUPARIA,BHARATIYA SOCIALIST PARTY,0,0
Udhampur,Jammu & Kashmir,1996,TULSI DAS,BHARATIYA SOCIALIST PARTY,0,0
Ujjain,Madhya Pradesh,1989,KANCHAIYALAL BERWA,BHARATIYA SOCIALIST PARTY,0,0
Unnao,Uttar Pradesh,1989,RAJ KUMAR,BHARATIYA SOCIALIST PARTY,0,0
Vadodara,Gujarat,1996,TADVI BHAILALBHAI DEVJIBHAI,BHARATIYA SOCIALIST PARTY,0,0
Varanasi,Uttar Pradesh,1989,GANGA RAM &quot;GWAL&quot;,BHARATIYA SOCIALIST PARTY,0,0
Vidisha,Madhya Pradesh,1989,KAMAL KISHORE AHIRAWAR,BHARATIYA SOCIALIST PARTY,0,0
Viluppuram,Tamil Nadu,1998,JEYABALAN R.,BHARATIYA SOCIALIST PARTY,0,0
Visakhapatnam,Andhra Pradesh,1989,GARIKINAANANDA KUMAR,BHARATIYA SOCIALIST PARTY,0,0
Warangal,Andhra Pradesh,1991,AZEEZ ABDUL,BHARATIYA SOCIALIST PARTY,0,0
Wardha,Maharashtra,1989,UBALE SHRIKRISHNA CHAMPATRAO,BHARATIYA SOCIALIST PARTY,0,0
Washim,Maharashtra,1989,SONONE RAMPRABHA SURYABHANJI,BHARATIYA SOCIALIST PARTY,0,0
West Dinajpur,West Bengal,1989,ANIL CHANDRA BISWAS,BHARATIYA SOCIALIST PARTY,0,0
West Godavari,Andhra Pradesh,1991,SANTARAO GUDAPATI,BHARATIYA SOCIALIST PARTY,0,0
West Nimar,Madhya Pradesh,1989,RAMLAL YADAV,BHARATIYA SOCIALIST PARTY,0,0
Yavatmal,Maharashtra,1989,ATRAM PUSHPATAI,BHARATIYA SOCIALIST PARTY,0,0
Ambala,Haryana,1998,MAYA RAM,BAHUJAN SAMAJ PARTY (AMBEDKAR),0,0
Amritsar,Punjab,1996,SHANKER SINGH,BAHUJAN SAMAJ PARTY (AMBEDKAR),0,0
Bathinda,Punjab,1996,PARMINDER SINGH QAUMI,BAHUJAN SAMAJ PARTY (AMBEDKAR),0,0
Chandigarh,Chandigarh,1996,SUBHASH TAMOLI,BAHUJAN SAMAJ PARTY (AMBEDKAR),0,0
Faridkot,Punjab,1999,DEVI DASS  NAHAR,BAHUJAN SAMAJ PARTY (AMBEDKAR),0,0
Firozpur,Punjab,1999,MANNA,BAHUJAN SAMAJ PARTY (AMBEDKAR),0,0
Hoshiarpur,Punjab,1996,AMARJIT SINGH MANN,BAHUJAN SAMAJ PARTY (AMBEDKAR),0,0
Jalandhar,Punjab,1996,SHADI RAM SITAL,BAHUJAN SAMAJ PARTY (AMBEDKAR),0,0
Ludhiana,Punjab,1998,SARDOOL SINGH,BAHUJAN SAMAJ PARTY (AMBEDKAR),0,0
Patiala,Punjab,1999,VARINDER SINGH FAGANMAJRA,BAHUJAN SAMAJ PARTY (AMBEDKAR),0,0
Bijnor,Uttar Pradesh,1996,REKHA RANI,BAHUJAN SAMAJ PARTY (RAJ BAHADUR),0,0
New Delhi,Delhi,1996,JAKIR HUSAIN,BAHUJAN SAMAJ PARTY (RAJ BAHADUR),0,0
Haridwar,Uttaranchal,1996,DHARA SINGH,BHARATIYA SAMAJ SANGATHAN MORCHA,0,0
Saharanpur,Uttar Pradesh,1996,RAM RATAN,BHARATIYA SAMAJ SANGATHAN MORCHA,0,0
New Delhi,Delhi,1996,MUNNA KHAN,BHARATIYA SAMAJWADI VIKAS PARTY,0,0
Mainpuri,Uttar Pradesh,1998,RAM NARESH SHAKYA,BAHUJAN VIKAS PARTY,0,0
Nainital,Uttaranchal,1998,RAMSARAN ARYA,BAHUJAN VIKAS PARTY,0,0
Bijapur,Karnataka,1991,S. VISVESWARAIAH,Cheluva Kannad Nadu,0,0
Salem,Tamil Nadu,1999,"RAMAMOORTHI, C.",Christian Mannetra Kazhagam,0,0
Kanker,Chhattisgarh,1996,JANAKLAL THAKUR,CHHATTISGARH MUKTI MORCHA,0,0
Mahasamund,Chhattisgarh,1996,RAMGOPAL KASHYAP,CHHATTISGARH MUKTI MORCHA,0,0
Rajnandgaon,Chhattisgarh,1996,BHIMRAO BAGDE,CHHATTISGARH MUKTI MORCHA,0,0
Bhojpur and Rohtas,Bihar,1957,MITHTILESH KUMAR SINGH,CHOTA NAGPUR SANTHAL PARGANAS JANTA PARTY,0,0
Chatra,Bihar,1957,VIJAYA RAJE,CHOTA NAGPUR SANTHAL PARGANAS JANTA PARTY,0,1
"Darbhanga, Samastipur, and Madhubani",Bihar,1957,BISESHWAR SINGH,CHOTA NAGPUR SANTHAL PARGANAS JANTA PARTY,0,0
"Gaya, Nawada, and Aurangabad",Bihar,1957,SHEO SAHAY SINGH,CHOTA NAGPUR SANTHAL PARGANAS JANTA PARTY,0,0
Giridih,Bihar,1957,QUAZI S. A. MATIN,CHOTA NAGPUR SANTHAL PARGANAS JANTA PARTY,0,1
Hazaribagh,Bihar,1951,RAM NARAYAN SINGH,CHOTA NAGPUR SANTHAL PARGANAS JANTA PARTY,0,1
"Muzaffarpur, Sitamhari, and Vaishali",Bihar,1957,RAM BALAK ROY,CHOTA NAGPUR SANTHAL PARGANAS JANTA PARTY,0,0
Palamu,Bihar,1951,SUGRIODHAR DUBEY,CHOTA NAGPUR SANTHAL PARGANAS JANTA PARTY,0,0
Patna and Nalanda,Bihar,1957,RAMLAKHAN SINGH,CHOTA NAGPUR SANTHAL PARGANAS JANTA PARTY,0,0
